Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Item_Outlet_Sales,Outlet_Years,Item_Fat_Content_1,Item_Fat_Content_2,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_1,Outlet_Size_2,Outlet_Size_3,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Type_Combined_1,Item_Type_Combined_2,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
FDY21,15.1,0.9477562226443159,Snack Foods,194.511,OUT046,1997,4910.275,16,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
FDI26,5.94,1.5795664691579507,Canned,180.0344,OUT019,1985,892.172,28,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
FDM20,10.0,0.7142857142857144,Fruits and Vegetables,246.9144,OUT018,2009,3185.1872,4,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
FDV27,7.97,0.7997977402469444,Meat,87.3514,OUT045,2002,1062.6168,11,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False
FDF09,6.215,0.9948602766106077,Fruits and Vegetables,38.2848,OUT027,1985,484.7024,28,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
FDY40,15.5,1.413215232108333,Frozen Foods,51.0692,OUT019,1985,147.8076,28,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
FDY45,17.5,1.0218594366389009,Snack Foods,255.8356,OUT027,1985,2543.356,28,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
FDC46,17.7,1.526559956581351,Snack Foods,185.4266,OUT010,1998,184.4266,15,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
FDH19,19.35,0.9025033636908054,Meat,172.5738,OUT035,2004,4865.6664,9,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
FDZ03,13.65,0.8926191098281784,Dairy,186.024,OUT045,2002,1118.544,11,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False
DRH37,17.6,0.8894938822861084,Soft Drinks,164.8526,OUT045,2002,2302.3364,11,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
NCI17,8.645,0.9989871435433431,Health and Hygiene,95.841,OUT046,1997,2027.361,16,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
FDJ58,15.6,0.8484883858774449,Snack Foods,170.1764,OUT046,1997,3435.528,16,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
FDL12,15.85,0.8695966818186084,Baking Goods,59.222,OUT013,1987,599.22,26,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
FDH35,18.25,0.8571428571428572,Starchy Foods,164.7526,OUT045,2002,4604.6728,11,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False
FDG02,7.855,0.8736089180195864,Canned,189.6188,OUT017,2007,2285.0256,6,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False
NCZ18,7.825,0.9076969233783859,Household,254.3698,OUT049,1999,5580.7356,14,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
FDC29,8.39,0.9992261936164709,Frozen Foods,114.0176,OUT046,1997,2290.352,16,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
FDQ10,12.85,0.9043192954878387,Snack Foods,172.3422,OUT049,1999,1207.0954,14,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
FDN48,13.35,1.5219827105910262,Baking Goods,89.9804,OUT019,1985,643.1628,28,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
FDL04,19.0,1.0054306358168554,Frozen Foods,104.9622,OUT017,2007,1587.933,6,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False
FDV25,5.905,0.8333333333333334,Canned,222.5456,OUT045,2002,5305.0944,11,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False
FDD58,7.76,0.8881058706122894,Snack Foods,101.87,OUT046,1997,1697.79,16,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
FDN04,11.8,1.0197993732581294,Frozen Foods,180.3344,OUT046,1997,1427.4752,16,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
FDV45,16.75,0.9065714951294783,Snack Foods,187.9556,OUT018,2009,4693.89,4,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
NCL18,18.85,1.5791630222747792,Household,194.6136,OUT019,1985,583.2408,28,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
FDR12,12.6,0.8836739937983247,Baking Goods,171.3764,OUT027,1985,3091.9752,28,False,True,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
FDG20,15.5,0.8843963035953681,Fruits and Vegetables,177.0028,OUT017,2007,2479.4392,6,False,True,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False
FDZ55,6.055,0.9986913188770223,Fruits and Vegetables,160.992,OUT035,2004,2716.464,9,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
FDQ49,20.2,0.8652260114281756,Breakfast,155.963,OUT027,1985,3285.723,28,False,True,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
FDN33,6.305,1.0010310559959184,Snack Foods,95.6436,OUT046,1997,661.8052,16,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
FDN27,20.85,1.0695646454804046,Meat,117.2808,OUT049,1999,1523.3504,14,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
FDW20,20.75,1.4342927846122455,Fruits and Vegetables,122.173,OUT010,1998,369.519,15,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
DRG27,8.895,0.8777338072573964,Dairy,39.9138,OUT049,1999,690.4346,14,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
DRI25,19.6,0.9136209138602582,Soft Drinks,55.1614,OUT045,2002,1381.535,11,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
FDA44,19.7,0.921352677093045,Fruits and Vegetables,57.893,OUT035,2004,622.523,9,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
NCR17,9.8,0.9988296793150883,Health and Hygiene,114.5492,OUT035,2004,1274.3412,9,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
FDU04,7.93,1.666502256749128,Frozen Foods,120.0414,OUT019,1985,487.3656,28,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
FDF41,12.15,1.0001428335821854,Frozen Foods,246.046,OUT049,1999,1231.73,14,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
FDB56,8.75,1.019512883577813,Fruits and Vegetables,187.4556,OUT035,2004,3755.112,9,False,True,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
NCP18,12.15,0.9939815463645768,Household,149.9708,OUT027,1985,4363.6532,28,True,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
FDB56,8.75,1.0197056962102902,Fruits and Vegetables,187.8556,OUT046,1997,1314.2892,16,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
FDT28,13.3,1.000657479038771,Frozen Foods,151.0708,OUT045,2002,1805.6496,11,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False
FDD10,20.6,0.9124925823628612,Snack Foods,178.5344,OUT027,1985,2854.9504,28,False,True,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
FDW57,8.31,1.039825448953738,Snack Foods,179.1028,OUT049,1999,3896.2616,14,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
DRB48,16.75,0.916819856315141,Soft Drinks,38.7822,OUT013,1987,667.7974,26,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
FDP09,19.75,0.8728846682169278,Snack Foods,212.0902,OUT018,2009,3185.853,4,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
FDH14,17.1,0.8293743935342626,Canned,141.1838,OUT013,1987,2247.7408,26,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
FDA47,10.5,1.026882619565562,Baking Goods,163.121,OUT013,1987,1794.331,26,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
FDG12,6.635,0.75,Baking Goods,121.3098,OUT045,2002,2530.7058,11,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False
DRE60,9.395,1.554236934407836,Soft Drinks,225.372,OUT019,1985,679.116,28,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
DRK49,14.15,1.019754829461958,Soft Drinks,41.4138,OUT013,1987,812.276,26,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
FDD03,13.3,0.9982612829610846,Dairy,232.53,OUT046,1997,699.09,16,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
FDS52,8.89,0.8530289760479389,Frozen Foods,102.4016,OUT017,2007,2732.4432,6,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False
FDW39,6.69,1.5660200722364046,Meat,176.937,OUT019,1985,176.437,28,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
FDX34,6.195,0.99472231242595,Snack Foods,121.7098,OUT027,1985,4097.3332,28,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
FDV11,9.1,0.8,Breads,173.2054,OUT045,2002,3151.8972,11,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False
FDD17,7.5,0.9180391026537704,Frozen Foods,239.0906,OUT049,1999,5942.265,14,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
FDZ16,16.85,0.8127109130444516,Frozen Foods,192.4478,OUT017,2007,4843.695,6,False,True,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False
FDZ46,7.485,0.997045204761887,Snack Foods,109.0228,OUT035,2004,2542.0244,9,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
DRA12,11.6,0.9664212571485007,Soft Drinks,140.3154,OUT017,2007,2552.6772,6,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False
FDY58,11.65,1.000310840835566,Snack Foods,227.0694,OUT018,2009,1141.847,4,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
NCF19,13.0,0.8737352885509778,Household,47.5034,OUT017,2007,680.4476,6,True,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False
DRJ13,12.65,0.8994150084567096,Soft Drinks,159.0578,OUT045,2002,2085.9514,11,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
FDB14,20.25,1.5359103695707157,Canned,92.512,OUT010,1998,186.424,15,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
FDJ38,8.6,0.9981035677346621,Canned,190.153,OUT035,2004,3036.048,9,False,True,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
FDW11,12.6,1.0045293329709672,Breads,62.7194,OUT017,2007,866.8716,6,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False
FDL40,17.7,0.9175624357280409,Frozen Foods,95.041,OUT035,2004,868.869,9,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
DRI49,14.15,0.9985240537514383,Soft Drinks,82.4276,OUT046,1997,1137.1864,16,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
FDV38,19.25,0.8676004642120854,Dairy,52.7956,OUT017,2007,928.1252,6,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False
DRG23,8.88,1.0203717404469927,Hard Drinks,151.7682,OUT013,1987,762.341,26,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
NCP30,20.5,1.001464650108189,Household,40.2822,OUT045,2002,707.0796,11,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False
FDY25,12.0,0.994350983707695,Canned,180.5976,OUT027,1985,7968.2944,28,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
NCH54,13.5,0.8082214567844889,Household,160.292,OUT046,1997,1438.128,16,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
NCR53,12.15,0.8214348122328794,Health and Hygiene,224.4404,OUT027,1985,6976.2524,28,True,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
FDS52,8.89,1.4197649145980327,Frozen Foods,101.7016,OUT010,1998,101.2016,15,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
FDG02,7.855,0.8722339603949565,Canned,188.5188,OUT018,2009,952.094,4,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
NCO26,7.235,0.9986322230840355,Household,116.0492,OUT046,1997,1969.4364,16,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
FDH35,18.25,0.9017892032941387,Starchy Foods,165.4526,OUT027,1985,5262.4832,28,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
FDB51,6.92,1.0002381398116789,Dairy,60.5852,OUT045,2002,1314.2892,11,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False
FDX44,9.3,1.0047486362989948,Fruits and Vegetables,90.8172,OUT017,2007,535.3032,6,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False
NCN07,18.5,1.5255089605772434,Others,132.1284,OUT010,1998,263.6568,15,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
NCC31,8.02,0.8705455842705715,Household,154.5972,OUT035,2004,1402.1748,9,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
NCX54,9.195,0.9168523734212936,Household,105.1622,OUT017,2007,1693.7952,6,True,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False
NCO55,12.8,0.7796761014753127,Others,105.5938,OUT045,2002,2143.876,11,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False
NCC30,16.6,0.8825315072178719,Household,177.6344,OUT049,1999,2676.516,14,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
FDI16,14.0,0.8571428571428572,Frozen Foods,53.064,OUT035,2004,905.488,9,False,True,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
FDP16,18.6,0.8808625329084496,Frozen Foods,246.3802,OUT049,1999,7370.406,14,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
FDB11,16.0,0.9981703397961053,Starchy Foods,226.8404,OUT035,2004,6301.1312,9,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
NCB06,17.6,0.8811099613784076,Health and Hygiene,160.692,OUT035,2004,1597.92,9,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
FDA45,21.25,0.9997633612623326,Snack Foods,178.237,OUT035,2004,529.311,9,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
NCO26,7.235,0.9984433869184124,Household,117.5492,OUT035,2004,1969.4364,9,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
DRJ25,14.6,1.0023204999570055,Soft Drinks,50.3692,OUT017,2007,1034.6532,6,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False
FDR28,13.85,1.0018503386019926,Frozen Foods,161.521,OUT018,2009,1794.331,4,False,True,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
FDI04,13.65,0.9067754473476878,Frozen Foods,197.6426,OUT018,2009,2768.3964,4,False,True,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
DRK12,9.5,1.009878962736636,Soft Drinks,31.29,OUT027,1985,898.83,28,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
FDX20,7.365,0.9222899096810624,Fruits and Vegetables,226.172,OUT046,1997,3169.208,16,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
